Number,Catalyst,Doping wt%,Support(Promoter),Initial composition(H2/N2),GHSV(mL g-1 h-1),Pressure(MPa),Pressure(atm), Temperature(c) , Temperature(K) , Reaction rate(mmol g-1 h-1) , Reaction rate(kmol kg-1 s-1) , Reaction rate(mol g-1 h-1) ,N2 in(mol g-1 h-1),N2 conversion,N2 out(mol g-1 h-1)
,Ru,4,c-CeO2,3,18000,1,9.869,376.794,649.944,0.5743,1.60E-07,0.0005743 ,0.2006533 ,0.0014311 ,0.2003662 
,Ru,4,c-CeO2,3,18000,1,9.869,370.454,643.604,0.4597,1.28E-07,0.0004597 ,0.2006533 ,0.0011455 ,0.2004235 
,Ru,4,c-CeO2,3,18000,1,9.869,363.529,636.679,0.3489,9.69E-08,0.0003489 ,0.2006533 ,0.0008694 ,0.2004789 
,Ru,4,c-CeO2,3,18000,1,9.869,357.677,630.827,0.2793,7.76E-08,0.0002793 ,0.2006533 ,0.0006960 ,0.2005137 
,Ru,4,c-CeO2,3,18000,1,9.869,339.872,613.022,0.1346,3.74E-08,0.0001346 ,0.2006533 ,0.0003354 ,0.2005860 
37,Ru,5,La0.5Ce0.5O1.75,3,72000,1,9.869,300.117,573.267,10.929,3.04E-06,0.0109290 ,0.8026132 ,0.0068084 ,0.7971487 
,Ru,5,La0.5Ce0.5O1.75,3,72000,1,9.869,311.947,585.097,14.614,4.06E-06,0.0146140 ,0.8026132 ,0.0091040 ,0.7953062 
,Ru,5,La0.5Ce0.5O1.75,3,72000,1,9.869,325.285,598.435,19.714,5.48E-06,0.0197140 ,0.8026132 ,0.0122811 ,0.7927562 
,Ru,5,La0.5Ce0.5O1.75,3,72000,1,9.869,336.685,609.835,25.095,6.97E-06,0.0250950 ,0.8026132 ,0.0156333 ,0.7900657 
,Ru,5,La0.5Ce0.5O1.75,3,72000,1,9.869,350.639,623.789,31.892,8.86E-06,0.0318920 ,0.8026132 ,0.0198676 ,0.7866672 
,Ru,5,La0.5Ce0.5O1.75,3,72000,1,9.869,362.367,635.517,40.005,1.11E-05,0.0400050 ,0.8026132 ,0.0249217 ,0.7826107 
,Ru,5,La0.5Ce0.5O1.75,3,72000,1,9.869,375.764,648.914,50.664,1.41E-05,0.0506640 ,0.8026132 ,0.0315619 ,0.7772812 
,Ru,5,La0.5Ce0.5O1.75,3,72000,1,9.869,385.519,658.669,55.666,1.55E-05,0.0556660 ,0.8026132 ,0.0346780 ,0.7747802 
,Ru,5,La0.5Ce0.5O1.75,3,72000,1,9.869,393.174,666.324,59.724,0.00001659,0.0597240 ,0.8026132 ,0.0372060 ,0.7727512 
,Ru,5,La0.5Ce0.5O1.75,3,72000,1,9.869,400.688,673.838,64.536,1.79E-05,0.0645360 ,0.8026132 ,0.0402037 ,0.7703452 
38,Ru,0.4,ACCs,3,60000,1,9.869,359.678,632.828,1.3875,3.85E-07,0.0013875 ,0.6688443 ,0.0010372 ,0.6681506 
,Ru,0.4,ACCs,3,60000,1,9.869,354.875,628.025,1.2267,3.41E-07,0.0012267 ,0.6688443 ,0.0009170 ,0.6682310 
,Ru,0.4,ACCs,3,60000,1,9.869,349.262,622.412,1.0912,3.03E-07,0.0010912 ,0.6688443 ,0.0008157 ,0.6682987 
,Ru,0.4,ACCs,3,60000,1,9.869,341.595,614.745,0.9579,2.66E-07,0.0009579 ,0.6688443 ,0.0007161 ,0.6683654 
,Ru,0.4,ACCs,3,60000,1,9.869,334.674,607.824,0.8302,2.31E-07,0.0008302 ,0.6688443 ,0.0006206 ,0.6684292 
,Ru,0.4,ACCs,3,60000,1,9.869,328.456,601.606,0.7196,2.00E-07,0.0007196 ,0.6688443 ,0.0005379 ,0.6684845 
,Ru,0.4,ACCs,3,60000,1,9.869,324.923,598.073,0.6529,1.81E-07,0.0006529 ,0.6688443 ,0.0004881 ,0.6685179 
,Ru,0.4,ACCs,3,60000,1,9.869,317.179,590.329,0.5767,1.60E-07,0.0005767 ,0.6688443 ,0.0004311 ,0.6685560 
,Ru,0.4,ACCs,3,60000,1,9.869,310.023,583.173,0.4839,1.34E-07,0.0004839 ,0.6688443 ,0.0003617 ,0.6686024 
,Ru,0.4,ACCs,3,60000,1,9.869,300.04,573.19,0.3929,1.09E-07,0.0003929 ,0.6688443 ,0.0002937 ,0.6686479 
39,Ru,0.39,SAC,3,60000,1,9.869,388.91,662.06,4.0593,1.13E-06,0.0040593 ,0.6688443 ,0.0030346 ,0.6668147 
,Ru,0.39,SAC,3,60000,1,9.869,384.634,657.784,3.6829,0.000001023,0.0036829 ,0.6688443 ,0.0027532 ,0.6670029 
,Ru,0.39,SAC,3,60000,1,9.869,380.087,653.237,3.3845,9.40E-07,0.0033845 ,0.6688443 ,0.0025301 ,0.6671521 
,Ru,0.39,SAC,3,60000,1,9.869,375.123,648.273,3.1299,8.69E-07,0.0031299 ,0.6688443 ,0.0023398 ,0.6672794 
,Ru,0.39,SAC,3,60000,1,9.869,369.922,643.072,2.8945,0.000000804,0.0028945 ,0.6688443 ,0.0021638 ,0.6673971 
,Ru,0.39,SAC,3,60000,1,9.869,365.42,638.57,2.6599,7.39E-07,0.0026599 ,0.6688443 ,0.0019884 ,0.6675144 
,Ru,0.39,SAC,3,60000,1,9.869,359.92,633.07,2.397,6.66E-07,0.0023970 ,0.6688443 ,0.0017919 ,0.6676458 
,Ru,0.39,SAC,3,60000,1,9.869,356.306,629.456,2.2173,6.16E-07,0.0022173 ,0.6688443 ,0.0016576 ,0.6677357 
,Ru,0.39,SAC,3,60000,1,9.869,352.882,626.032,2.0509,5.70E-07,0.0020509 ,0.6688443 ,0.0015332 ,0.6678189 
,Ru,0.39,SAC,3,60000,1,9.869,349.641,622.791,1.8974,5.27E-07,0.0018974 ,0.6688443 ,0.0014184 ,0.6678956 
40,Ru,5,Ba-LaCeOx,3,72000,1,9.869,299.962,573.112,14.614,4.06E-06,0.0146140 ,0.8026132 ,0.0091040 ,0.7953062 
,Ru,5,Ba-LaCeOx,3,72000,1,9.869,313.706,586.856,22.929,6.37E-06,0.0229290 ,0.8026132 ,0.0142840 ,0.7911487 
,Ru,5,Ba-LaCeOx,3,72000,1,9.869,324.002,597.152,30.383,8.44E-06,0.0303830 ,0.8026132 ,0.0189275 ,0.7874217 
,Ru,5,Ba-LaCeOx,3,72000,1,9.869,332.86,606.01,37.622,1.05E-05,0.0376220 ,0.8026132 ,0.0234372 ,0.7838022 
,Ru,5,Ba-LaCeOx,3,72000,1,9.869,339.999,613.149,43.998,1.22E-05,0.0439980 ,0.8026132 ,0.0274092 ,0.7806142 
,Ru,5,Ba-LaCeOx,3,72000,1,9.869,349.42,622.57,52.535,1.46E-05,0.0525350 ,0.8026132 ,0.0327275 ,0.7763457 
,Ru,5,Ba-LaCeOx,3,72000,1,9.869,360.551,633.701,62.911,1.75E-05,0.0629110 ,0.8026132 ,0.0391914 ,0.7711577 
,Ru,5,Ba-LaCeOx,3,72000,1,9.869,374.385,647.535,76.637,2.13E-05,0.0766370 ,0.8026132 ,0.0477422 ,0.7642947 
,Ru,5,Ba-LaCeOx,3,72000,1,9.869,386.287,659.437,81.924,2.28E-05,0.0819240 ,0.8026132 ,0.0510358 ,0.7616512 
,Ru,5,Ba-LaCeOx,3,72000,1,9.869,398.755,671.905,88.293,2.45E-05,0.0882930 ,0.8026132 ,0.0550035 ,0.7584667 
41,Ru,5,LaCeOx,3,72000,1,9.869,300.07,573.22,11.045,3.07E-06,0.0110450 ,0.8026132 ,0.0068806 ,0.7970907 
,Ru,5,LaCeOx,3,72000,1,9.869,310.922,584.072,14.712,4.09E-06,0.0147120 ,0.8026132 ,0.0091651 ,0.7952572 
,Ru,5,LaCeOx,3,72000,1,9.869,325.022,598.172,20.284,5.63E-06,0.0202840 ,0.8026132 ,0.0126362 ,0.7924712 
,Ru,5,LaCeOx,3,72000,1,9.869,335.677,608.827,25.588,7.11E-06,0.0255880 ,0.8026132 ,0.0159404 ,0.7898192 
,Ru,5,LaCeOx,3,72000,1,9.869,349.213,622.363,33.069,9.19E-06,0.0330690 ,0.8026132 ,0.0206008 ,0.7860787 
,Ru,5,LaCeOx,3,72000,1,9.869,358.226,631.376,39.193,1.09E-05,0.0391930 ,0.8026132 ,0.0244159 ,0.7830167 
,Ru,5,LaCeOx,3,72000,1,9.869,364.88,638.03,45.184,1.26E-05,0.0451840 ,0.8026132 ,0.0281481 ,0.7800212 
,Ru,5,LaCeOx,3,72000,1,9.869,374.237,647.387,53.217,1.48E-05,0.0532170 ,0.8026132 ,0.0331523 ,0.7760047 
,Ru,5,LaCeOx,3,72000,1,9.869,386.702,659.852,58.927,1.64E-05,0.0589270 ,0.8026132 ,0.0367095 ,0.7731497 
,Ru,5,LaCeOx,3,72000,1,9.869,398.796,671.946,65.456,1.82E-05,0.0654560 ,0.8026132 ,0.0407768 ,0.7698852 
42,Cs-Ru,5,MgO,3,72000,1,9.869,299.622,572.772,1.501,4.17E-07,0.0015010 ,0.8026132 ,0.0009351 ,0.8018627 
,Cs-Ru,5,MgO,3,72000,1,9.869,310.863,584.013,2.576,7.16E-07,0.0025760 ,0.8026132 ,0.0016048 ,0.8013252 
,Cs-Ru,5,MgO,3,72000,1,9.869,324.822,597.972,4.193,1.16E-06,0.0041930 ,0.8026132 ,0.0026121 ,0.8005167 
,Cs-Ru,5,MgO,3,72000,1,9.869,336.411,609.561,6.769,1.88E-06,0.0067690 ,0.8026132 ,0.0042169 ,0.7992287 
,Cs-Ru,5,MgO,3,72000,1,9.869,349.254,622.404,10.978,3.05E-06,0.0109780 ,0.8026132 ,0.0068389 ,0.7971242 
,Cs-Ru,5,MgO,3,72000,1,9.869,363.171,636.321,16.687,4.64E-06,0.0166870 ,0.8026132 ,0.0103954 ,0.7942697 
,Cs-Ru,5,MgO,3,72000,1,9.869,373.814,646.964,23.081,6.41E-06,0.0230810 ,0.8026132 ,0.0143787 ,0.7910727 
,Cs-Ru,5,MgO,3,72000,1,9.869,383.53,656.68,31.522,8.76E-06,0.0315220 ,0.8026132 ,0.0196371 ,0.7868522 
,Cs-Ru,5,MgO,3,72000,1,9.869,391.796,664.946,39.693,1.10E-05,0.0396930 ,0.8026132 ,0.0247274 ,0.7827667 
,Cs-Ru,5,MgO,3,72000,1,9.869,398.791,671.941,47.865,1.33E-05,0.0478650 ,0.8026132 ,0.0298182 ,0.7786807 
43,Ru,1.8,3TiCN-ZrH2,3,60000,1,9.869,400.044,673.194,27.5747,7.66E-06,0.0275747 ,0.6688443 ,0.0206137 ,0.6550570 
,Ru,1.8,3TiCN-ZrH2,3,60000,1,9.869,392.696,665.846,24.1842,6.72E-06,0.0241842 ,0.6688443 ,0.0180791 ,0.6567522 
,Ru,1.8,3TiCN-ZrH2,3,60000,1,9.869,386.505,659.655,21.2042,5.89E-06,0.0212042 ,0.6688443 ,0.0158514 ,0.6582422 
,Ru,1.8,3TiCN-ZrH2,3,60000,1,9.869,380.427,653.577,19.2459,5.35E-06,0.0192459 ,0.6688443 ,0.0143874 ,0.6592214 
,Ru,1.8,3TiCN-ZrH2,3,60000,1,9.869,374.049,647.199,16.4941,4.58E-06,0.0164941 ,0.6688443 ,0.0123303 ,0.6605973 
,Ru,1.8,3TiCN-ZrH2,3,60000,1,9.869,367.659,640.809,14.4631,4.02E-06,0.0144631 ,0.6688443 ,0.0108120 ,0.6616128 
,Ru,1.8,3TiCN-ZrH2,3,60000,1,9.869,363.646,636.796,13.2766,3.69E-06,0.0132766 ,0.6688443 ,0.0099250 ,0.6622060 
,Ru,1.8,3TiCN-ZrH2,3,60000,1,9.869,359.946,633.096,12.2558,3.40E-06,0.0122558 ,0.6688443 ,0.0091619 ,0.6627164 
,Ru,1.8,3TiCN-ZrH2,3,60000,1,9.869,354.734,627.884,10.8699,3.02E-06,0.0108699 ,0.6688443 ,0.0081259 ,0.6634094 
,Ru,1.8,3TiCN-ZrH2,3,60000,1,9.869,349.733,622.883,9.7523,0.000002709,0.0097523 ,0.6688443 ,0.0072904 ,0.6639682 
44,Ru,1.8,3TiN-ZrH2,3,60000,1,9.869,399.769,672.919,17.5122,4.86E-06,0.0175122 ,0.6688443 ,0.0130914 ,0.6600882 
,Ru,1.8,3TiN-ZrH2,3,60000,1,9.869,391.268,664.418,14.8396,4.12E-06,0.0148396 ,0.6688443 ,0.0110935 ,0.6614245 
,Ru,1.8,3TiN-ZrH2,3,60000,1,9.869,380.312,653.462,11.2774,3.13E-06,0.0112774 ,0.6688443 ,0.0084305 ,0.6632056 
,Ru,1.8,3TiN-ZrH2,3,60000,1,9.869,371.886,645.036,8.9719,2.49E-06,0.0089719 ,0.6688443 ,0.0067070 ,0.6643584 
,Ru,1.8,3TiN-ZrH2,3,60000,1,9.869,363.939,637.089,7.3449,2.04E-06,0.0073449 ,0.6688443 ,0.0054907 ,0.6651719 
,Ru,1.8,3TiN-ZrH2,3,60000,1,9.869,356.836,629.986,6.0123,1.67E-06,0.0060123 ,0.6688443 ,0.0044945 ,0.6658382 
,Ru,1.8,3TiN-ZrH2,3,60000,1,9.869,350.397,623.547,5.242,1.46E-06,0.0052420 ,0.6688443 ,0.0039187 ,0.6662233 
,Ru,1.8,3TiN-ZrH2,3,60000,1,9.869,344.592,617.742,4.2414,1.18E-06,0.0042414 ,0.6688443 ,0.0031707 ,0.6667236 
,Ru,1.8,3TiN-ZrH2,3,60000,1,9.869,335.231,608.381,3.2233,8.95E-07,0.0032233 ,0.6688443 ,0.0024096 ,0.6672327 
,Ru,1.8,3TiN-ZrH2,3,60000,1,9.869,324.508,597.658,2.2349,6.21E-07,0.0022349 ,0.6688443 ,0.0016707 ,0.6677269 
45,Ru,1.8,ZrH2,3,60000,1,9.869,380.19,653.34,7.586,2.11E-06,0.0075860 ,0.6688443 ,0.0056710 ,0.6650513 
,Ru,1.8,ZrH2,3,60000,1,9.869,372.586,645.736,6.1743,1.72E-06,0.0061743 ,0.6688443 ,0.0046156 ,0.6657572 
,Ru,1.8,ZrH2,3,60000,1,9.869,366.093,639.243,5.1413,1.43E-06,0.0051413 ,0.6688443 ,0.0038434 ,0.6662737 
,Ru,1.8,ZrH2,3,60000,1,9.869,359.861,633.011,4.2325,1.18E-06,0.0042325 ,0.6688443 ,0.0031640 ,0.6667281 
,Ru,1.8,ZrH2,3,60000,1,9.869,354.782,627.932,3.5851,9.96E-07,0.0035851 ,0.6688443 ,0.0026801 ,0.6670518 
,Ru,1.8,ZrH2,3,60000,1,9.869,349.529,622.679,2.968,8.25E-07,0.0029680 ,0.6688443 ,0.0022188 ,0.6673603 
,Ru,1.8,ZrH2,3,60000,1,9.869,343.491,616.641,2.4015,6.67E-07,0.0024015 ,0.6688443 ,0.0017953 ,0.6676436 
,Ru,1.8,ZrH2,3,60000,1,9.869,337.445,610.595,1.9999,5.56E-07,0.0019999 ,0.6688443 ,0.0014950 ,0.6678444 
,Ru,1.8,ZrH2,3,60000,1,9.869,331.038,604.188,1.6183,4.50E-07,0.0016183 ,0.6688443 ,0.0012098 ,0.6680352 
,Ru,1.8,ZrH2,3,60000,1,9.869,324.999,598.149,1.2724,3.53E-07,0.0012724 ,0.6688443 ,0.0009512 ,0.6682081 
46,NiRu,1,SAA,3,60000,1,9.869,399.407,672.557,2.5523,0.000000709,0.0025523 ,0.6688443 ,0.0019080 ,0.6675682 
,NiRu,1,SAA,3,60000,1,9.869,388.722,661.872,2.0987,0.000000583,0.0020987 ,0.6688443 ,0.0015689 ,0.6677950 
,NiRu,1,SAA,3,60000,1,9.869,378.211,651.361,1.8063,5.02E-07,0.0018063 ,0.6688443 ,0.0013503 ,0.6679412 
,NiRu,1,SAA,3,60000,1,9.869,369.125,642.275,1.5147,4.21E-07,0.0015147 ,0.6688443 ,0.0011323 ,0.6680870 
,NiRu,1,SAA,3,60000,1,9.869,356.337,629.487,1.1443,3.18E-07,0.0011443 ,0.6688443 ,0.0008554 ,0.6682722 
,NiRu,1,SAA,3,60000,1,9.869,342.459,615.609,0.8873,2.47E-07,0.0008873 ,0.6688443 ,0.0006633 ,0.6684007 
,NiRu,1,SAA,3,60000,1,9.869,331.399,604.549,0.7062,1.96E-07,0.0007062 ,0.6688443 ,0.0005279 ,0.6684912 
,NiRu,1,SAA,3,60000,1,9.869,325.333,598.483,0.6239,1.73E-07,0.0006239 ,0.6688443 ,0.0004664 ,0.6685324 
,NiRu,1,SAA,3,60000,1,9.869,311.732,584.882,0.4775,1.33E-07,0.0004775 ,0.6688443 ,0.0003570 ,0.6686056 
,NiRu,1,SAA,3,60000,1,9.869,300.107,573.257,0.3727,1.04E-07,0.0003727 ,0.6688443 ,0.0002786 ,0.6686580 
47,FeRu,1,SAA,3,60000,1,9.869,379.873,653.023,0.3447,9.57E-08,0.0003447 ,0.6688443 ,0.0002577 ,0.6686720 
,FeRu,1,SAA,3,60000,1,9.869,375.031,648.181,0.3025,0.000000084,0.0003025 ,0.6688443 ,0.0002261 ,0.6686931 
,FeRu,1,SAA,3,60000,1,9.869,371.211,644.361,0.2761,7.67E-08,0.0002761 ,0.6688443 ,0.0002064 ,0.6687063 
,FeRu,1,SAA,3,60000,1,9.869,368.529,641.679,0.2504,6.95E-08,0.0002504 ,0.6688443 ,0.0001872 ,0.6687191 
,FeRu,1,SAA,3,60000,1,9.869,364.785,637.935,0.23,6.39E-08,0.0002300 ,0.6688443 ,0.0001719 ,0.6687293 
,FeRu,1,SAA,3,60000,1,9.869,361.083,634.233,0.2072,5.76E-08,0.0002072 ,0.6688443 ,0.0001549 ,0.6687407 
,FeRu,1,SAA,3,60000,1,9.869,357.122,630.272,0.1892,5.25E-08,0.0001892 ,0.6688443 ,0.0001414 ,0.6687497 
,FeRu,1,SAA,3,60000,1,9.869,355.457,628.607,0.1726,0.000000048,0.0001726 ,0.6688443 ,0.0001290 ,0.6687580 
,FeRu,1,SAA,3,60000,1,9.869,352.758,625.908,0.1596,4.43E-08,0.0001596 ,0.6688443 ,0.0001193 ,0.6687645 
,FeRu,1,SAA,3,60000,1,9.869,350.373,623.523,0.142,3.94E-08,0.0001420 ,0.6688443 ,0.0001062 ,0.6687733 
48,Ba-Ru-Li,4.8,AC,3,66000,5,49.345,410.583,683.733,69.7728,1.94E-05,0.0697728 ,0.7357288 ,0.0474175 ,0.7008424 
,Ba-Ru-Li,4.8,AC,3,66000,5,49.345,406.249,679.399,64.6084,1.79E-05,0.0646084 ,0.7357288 ,0.0439078 ,0.7034246 
,Ba-Ru-Li,4.8,AC,3,66000,5,49.345,401.368,674.518,60.6515,1.68E-05,0.0606515 ,0.7357288 ,0.0412187 ,0.7054030 
,Ba-Ru-Li,4.8,AC,3,66000,5,49.345,396.705,669.855,56.937,1.58E-05,0.0569370 ,0.7357288 ,0.0386943 ,0.7072603 
,Ba-Ru-Li,4.8,AC,3,66000,5,49.345,390.345,663.495,51.9689,1.44E-05,0.0519689 ,0.7357288 ,0.0353180 ,0.7097443 
,Ba-Ru-Li,4.8,AC,3,66000,5,49.345,384.823,657.973,48.4409,1.35E-05,0.0484409 ,0.7357288 ,0.0329204 ,0.7115083 
,Ba-Ru-Li,4.8,AC,3,66000,5,49.345,380.099,653.249,44.8465,1.25E-05,0.0448465 ,0.7357288 ,0.0304776 ,0.7133055 
,Ba-Ru-Li,4.8,AC,3,66000,5,49.345,376.986,650.136,42.1083,1.17E-05,0.0421083 ,0.7357288 ,0.0286167 ,0.7146746 
,Ba-Ru-Li,4.8,AC,3,66000,5,49.345,373.492,646.642,40.6478,1.13E-05,0.0406478 ,0.7357288 ,0.0276242 ,0.7154049 
,Ba-Ru-Li,4.8,AC,3,66000,5,49.345,370.583,643.733,38.7002,1.08E-05,0.0387002 ,0.7357288 ,0.0263006 ,0.7163787 
49,Ba-Ru,4.9,AC,3,66000,5,49.345,460.763,733.913,39.8947,1.11E-05,0.0398947 ,0.7357288 ,0.0271124 ,0.7157814 
,Ba-Ru,4.9,AC,3,66000,5,49.345,457.903,731.053,37.7296,1.05E-05,0.0377296 ,0.7357288 ,0.0256410 ,0.7168640 
,Ba-Ru,4.9,AC,3,66000,5,49.345,455.235,728.385,35.1894,9.77E-06,0.0351894 ,0.7357288 ,0.0239147 ,0.7181341 
,Ba-Ru,4.9,AC,3,66000,5,49.345,451.183,724.333,32.3639,0.00000899,0.0323639 ,0.7357288 ,0.0219945 ,0.7195468 
,Ba-Ru,4.9,AC,3,66000,5,49.345,447.181,720.331,29.9684,8.32E-06,0.0299684 ,0.7357288 ,0.0203665 ,0.7207446 
,Ba-Ru,4.9,AC,3,66000,5,49.345,443.393,716.543,27.5622,7.66E-06,0.0275622 ,0.7357288 ,0.0187312 ,0.7219477 
,Ba-Ru,4.9,AC,3,66000,5,49.345,440.835,713.985,26.0663,7.24E-06,0.0260663 ,0.7357288 ,0.0177146 ,0.7226956 
,Ba-Ru,4.9,AC,3,66000,5,49.345,437.446,710.596,23.9758,6.66E-06,0.0239758 ,0.7357288 ,0.0162939 ,0.7237409 
,Ba-Ru,4.9,AC,3,66000,5,49.345,433.594,706.744,21.8969,6.08E-06,0.0218969 ,0.7357288 ,0.0148811 ,0.7247803 
,Ba-Ru,4.9,AC,3,66000,5,49.345,430.11,703.26,20.0002,5.56E-06,0.0200002 ,0.7357288 ,0.0135921 ,0.7257287 
