A_f,Ea_f,C_ad2_A,C_ad2_B,C_ad3_A,C_ad3_B,C_ad4_A,C_ad4_B,C_ad5_A,C_ad5_B,C_ad6_A,C_ad6_B
10000000000.0,38981.3102,-10.0,-1177.11151,-9.83418528,-17585.6058,-10.0,-310.621366,-10.0,-0.214551039,12.6578021,0.0
10000000000.0,52222.1545,-10.0,-0.430752878,-9.87400436,-17585.6058,-10.0,-1.19349818,-10.0,-0.0250914501,11.9512798,-1.70992617
10000000000.0,60110.4122,-5.02236502,-0.429939133,-9.87400417,-17585.6058,-10.0,-1.1936058,-10.0,-0.0251265957,11.300188,-16.0959482
10000000000.0,60116.2358,-3.78524766,-0.429653887,-9.87400451,-17585.6058,-10.0,-1.20238481,-9.99999999,-0.0251406776,11.1999213,-3.83459805
10000000000.0,100763.429,-10.0,-3890.51597,-7.72852958,-17586.0557,-10.0,-3884.76918,-10.0,-123.4341,10.1426474,-1766.32453
10000000000.0,58931.7931,-7.35384302,-0.429362415,-9.87400423,-17585.6058,-10.0,-1.1936992,-10.0,-0.0250619067,11.4408856,-10.4031934
10000000000.0,57994.11,-9.92739563,-0.430603954,-9.87400421,-17585.6058,-9.11764326,-1.1934921,-10.0,-0.0250164927,11.419189,-3.6049899
10000000000.0,56978.9278,-3.54131586,-0.426705012,-9.87401988,-17585.6058,-10.0,-1.19358921,-9.99956016,-0.0318921847,11.3431513,-7.53146686
10000000000.0,58526.7297,-9.61981773,-0.430512626,-9.87400428,-17585.6058,-9.99391144,-1.19291496,-9.99916254,-0.0250330321,11.1266785,-6.17539554
10000000000.0,45702.15,-9.79826393,-0.430966677,-9.87400413,-17585.6058,-9.52805008,0.0,-9.97318754,0.0,12.2763061,-2.02718252
10000000000.0,57114.2898,-9.38562317,-0.431151673,-9.87400403,-17585.6058,-10.0,-1.19374335,-10.0,-0.0249082771,11.4698075,-14.9104118
10000000000.0,47492.6004,-10.0,-0.430847545,-9.87400413,-17585.6058,-10.0,-1.19360264,-10.0,-0.0250331625,12.4034668,-3.09571839
10000000000.0,75163.5803,-10.0,-0.430669232,-9.87400425,-17585.6058,-10.0,-1.19348969,-10.0,-0.0251006176,10.7959172,0.0
10000000000.0,80281.5475,-2.68523509,0.0,-9.87399822,-17585.6058,-10.0,0.0,-10.0,-88.6253353,10.0969284,0.0
10000000000.0,61085.7965,-9.47736485,-0.430659998,-9.87400425,-17585.6058,-9.93510097,-1.19347369,-9.99999992,-0.0251012762,11.6659719,-3.76008907
10000000000.0,65687.0167,-6.56883845,-0.419396116,-9.87399967,-17585.6058,-9.17936597,-1.19113997,-9.9999993,-0.0203540906,11.5113233,-10.646642
10000000000.0,59474.9141,-10.0,-0.416035725,-9.87400477,-17585.6058,-10.0,-1.19389558,-10.0,-0.0314312697,11.818112,-32.8159695
10000000000.0,54275.8454,-10.0,-0.43055604,-9.87400424,-17585.6058,-10.0,-1.1934694,-10.0,-0.0250956485,12.1531888,-4.23002419
10000000000.0,56577.1372,-10.0,-0.418604092,-9.87400404,-17585.6058,-10.0,-1.19168214,-10.0,-0.0266166077,11.9281275,-36.024364
