Number,Catalyst,A_f (kmol s-1 kg-1),Ea_f (kJ/kmol),A_1 (kmol s-1 kg-1),Ea_1 (kJ/kmol),A_2 (kmol s-1 kg-1),Ea_2 (kJ/kmol),A_3 (kmol s-1 kg-1),Ea_3 (kJ/kmol),A_4 (kmol s-1 kg-1),Ea_4 (kJ/kmol),A_5 (kmol s-1 kg-1),Ea_5 (kJ/kmol),Reference,,Reference,
43,7.00 wt% Ru-K/CaO,5.62.E+08,7.94.E+04,1.16.E-03,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.11.E+03,0.00.E+00,11 ,,,
44,3.00 wt% Ru-K/CaO,5.29.E+07,6.11.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,7.57.E+03,0.00.E+00,11 ,,,
45,3.00 wt% Ru/CaO,5.28.E+08,8.18.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.13.E-03,0.00.E+00,6.62.E+03,0.00.E+00,11 ,,,
46,3.00 wt% Ru-K/CaO,3.73.E+08,7.49.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.37.E+03,0.00.E+00,11 ,,,
47,2.00 wt% Ru/MgAl,8.48.E+07,5.76.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.91.E-04,0.00.E+00,3.43.E-01,0.00.E+00,7.98.E+03,0.00.E+00,12 ,,,
48,2.00 wt% Ru/Ce2.5-MgAl(600),7.96.E+07,5.43.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,7.91.E+03,0.00.E+00,12 ,,,
49,2.00 wt% Ru/Ce5-MgAl(600),8.82.E+07,5.04.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.38.E-02,0.00.E+00,1.03.E+04,0.00.E+00,12 ,,,
50,2.00 wt% Ru/Ce7.5-MgAl(600),4.57.E+07,4.81.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,9.20.E+03,0.00.E+00,12 ,,,
51,2.00 wt% Ru/Ce10-MgAl(600),1.05.E+08,5.28.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.69.E-03,0.00.E+00,9.55.E+03,0.00.E+00,12 ,,,
52,2.00 wt% Ru/Ce5-MgAl(800),3.78.E+07,4.80.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.28.E-02,0.00.E+00,8.92.E+03,0.00.E+00,12 ,,,
53,2.00 wt% Ru/Ce5-MgAl(700),5.01.E+07,4.77.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.31.E-01,0.00.E+00,9.94.E+03,0.00.E+00,12 ,,,
54,2.00 wt% Ru/Ce5-MgAl(500),3.10.E+07,4.51.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.72.E-02,0.00.E+00,9.45.E+03,0.00.E+00,12 ,,,
