A_f,Ea_f(J/mol),A_1,Ea_1(J/mol),A_2,Ea_2(J/mol),A_3,Ea_3(J/mol),A_4,Ea_4(J/mol),A_5,Ea_5(J/mol)
10000000000.0,38981.3102,4.5399929762484854e-05,9786.50509414,5.358800619206883e-05,146206.7266212,4.5399929762484854e-05,2582.506036924,4.5399929762484854e-05,1.783777338246,314205.37135660264,-0.0
10000000000.0,52222.1545,4.5399929762484854e-05,3.581279427692,5.149610624737562e-05,146206.7266212,4.5399929762484854e-05,9.92274386852,4.5399929762484854e-05,0.2086103161314,155015.40840110194,14.21632617738
10000000000.0,60110.4122,0.006588925327618575,3.574513951762,5.1496116031636816e-05,146206.7266212,4.5399929762484854e-05,9.9236386212,4.5399929762484854e-05,0.2089025166498,80836.83343654065,133.8217133348
10000000000.0,60116.2358,0.02270323939614801,3.572142416518,5.149609852296027e-05,146206.7266212,4.5399929762484854e-05,9.996627310340001,4.539993021648419e-05,0.2090195935664,73124.68669411089,31.8808481877
10000000000.0,100763.429,4.5399929762484854e-05,32345.74977458,0.00044009075982219824,146210.46708980002,4.5399929762484854e-05,32297.970962519998,4.5399929762484854e-05,1026.2311074,25403.63111315381,14685.222142420002
10000000000.0,58931.7931,0.0006401276041500179,3.56971911831,5.1496112941869876e-05,146206.7266212,4.5399929762484854e-05,9.9244151488,4.5399929762484854e-05,0.2083646923038,93049.38009641446,86.4921499276
10000000000.0,57994.11,4.8818772827057455e-05,3.580041273556,5.149611397179214e-05,146206.7266212,0.00010971293775879935,9.9226933194,4.5399929762484854e-05,0.2079871203078,91052.2685248284,29.9718860286
10000000000.0,56978.9278,0.028975174712716153,3.547625469768,5.1495307034008583e-05,146206.7266212,4.5399929762484854e-05,9.923500691940001,4.541990285975315e-05,0.2651516235958,84385.5367181046,62.61661547404
10000000000.0,58526.7297,6.63997192269909e-05,3.579281972564,5.1496110367064354e-05,146206.7266212,4.5677193169759685e-05,9.91789497744,4.543796631248526e-05,0.2081246288794,67960.2666901157,51.342238519560006
10000000000.0,45702.15,5.554795090265213e-05,3.583056952578,5.149611809148148e-05,146206.7266212,7.27814036326224e-05,-0.0,4.663367958529769e-05,-0.0,214551.71846234155,16.85399547128
10000000000.0,57114.2898,8.392196575471608e-05,3.5845950093220003,5.149612324109352e-05,146206.7266212,4.5399929762484854e-05,9.9247822119,4.5399929762484854e-05,0.20708741580940002,95779.8396743178,123.9651637052
10000000000.0,47492.6004,4.5399929762484854e-05,3.58206648913,5.149611809148148e-05,146206.7266212,4.5399929762484854e-05,9.923612348959999,4.5399929762484854e-05,0.20812571302500002,243644.82291361428,25.73780269446
10000000000.0,75163.5803,4.5399929762484854e-05,3.5805839948480003,5.149611191194763e-05,146206.7266212,4.5399929762484854e-05,9.92267328266,4.5399929762484854e-05,0.2086865347264,48821.06702417027,-0.0
10000000000.0,80281.5475,0.06820515776087469,-0.0,5.149642243443867e-05,146206.7266212,4.5399929762484854e-05,-0.0,4.5399929762484854e-05,736.8310376842,24268.352153993834,-0.0
10000000000.0,61085.7965,7.656543295310776e-05,3.580507223372,5.149611191194763e-05,146206.7266212,4.844405310945127e-05,9.92254025866,4.539993339447935e-05,0.20869201032680001,116537.90920991926,31.26138052798
10000000000.0,65687.0167,0.001403426615938403,3.486859308424,5.1496347764680324e-05,146206.7266212,0.000103145910023397,9.903137710580001,4.5399961542446776e-05,0.1692239092484,99839.91178109012,88.516181588
10000000000.0,59474.9141,4.5399929762484854e-05,3.4589210176500003,5.1496085133976376e-05,146206.7266212,4.5399929762484854e-05,9.92604785212,4.5399929762484854e-05,0.2613195762858,135687.8084695114,272.83197042300003
10000000000.0,54275.8454,4.5399929762484854e-05,3.5796429165599997,5.1496112426908796e-05,146206.7266212,4.5399929762484854e-05,9.9225045916,4.5399929762484854e-05,0.208645221629,189698.03549155916,35.16842111566
10000000000.0,56577.1372,4.5399929762484854e-05,3.480274420888,5.1496122726132245e-05,146206.7266212,4.5399929762484854e-05,9.90764531196,4.5399929762484854e-05,0.2212904764178,151467.672753872,299.50656229599997
